Ind,Sentiment
0,1
1,0
2,0
3,1
4,0
5,0
6,0
7,1
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,1
23,1
24,0
25,1
26,0
27,1
28,1
29,1
30,0
31,0
32,0
33,0
34,1
35,1
36,1
37,1
38,0
39,0
40,0
41,0
42,0
43,1
44,1
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,0
62,1
63,1
64,1
65,0
66,0
67,0
68,0
69,1
70,1
71,0
72,0
73,0
74,1
75,1
76,0
77,0
78,1
79,1
80,1
81,0
82,0
83,0
84,1
85,1
86,1
87,1
88,0
89,1
90,0
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,1
103,1
104,1
105,1
106,0
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,0
116,1
117,0
118,0
119,1
120,1
121,1
122,1
123,0
124,0
125,0
126,1
127,0
128,0
129,0
130,1
131,1
132,0
133,1
134,1
135,1
136,0
137,0
138,0
139,0
140,1
141,0
142,1
143,1
144,0
145,0
146,0
147,0
148,0
149,1
150,0
151,1
152,0
153,1
154,1
155,1
156,0
157,0
158,1
159,1
160,0
161,1
162,1
163,1
164,0
165,1
166,1
167,1
168,0
169,1
170,1
171,0
172,0
173,1
174,0
175,0
176,0
177,1
178,1
179,1
180,1
181,0
182,1
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,0
191,0
192,0
193,1
194,0
195,1
196,0
197,1
198,1
199,0
200,1
201,0
202,1
203,1
204,0
205,0
206,0
207,1
208,1
209,0
210,0
211,0
212,0
213,1
214,1
215,0
216,1
217,0
218,0
219,1
220,1
221,1
222,0
223,1
224,0
225,0
226,0
227,0
228,1
229,1
230,0
231,0
232,1
233,1
234,0
235,1
236,1
237,1
238,0
239,0
240,1
241,0
242,1
243,0
244,1
245,1
246,1
247,1
248,0
249,1
250,0
251,0
252,1
253,1
254,0
255,1
256,0
257,0
258,1
259,1
260,0
261,0
262,0
263,1
264,0
265,0
266,1
267,0
268,1
269,1
270,0
271,0
272,1
273,0
274,1
275,1
276,0
277,0
278,0
279,1
280,1
281,1
282,0
283,0
284,1
285,1
286,0
287,0
288,0
289,1
290,1
291,1
292,1
293,1
294,1
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,1
304,0
305,1
306,0
307,0
308,0
309,1
310,1
311,1
312,1
313,1
314,0
315,0
316,0
317,1
318,0
319,1
320,0
321,1
322,1
323,0
324,1
325,0
326,1
327,0
328,1
329,0
330,1
331,1
332,1
333,0
334,1
335,0
336,0
337,0
338,1
339,1
340,1
341,0
342,1
343,0
344,1
345,1
346,1
347,0
348,1
349,0
350,0
351,1
352,1
353,1
354,0
355,1
356,0
357,0
358,1
359,1
360,0
361,1
362,1
363,1
364,0
365,1
366,1
367,0
368,0
369,0
370,1
371,1
372,0
373,0
374,1
375,1
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,1
386,0
387,1
388,1
389,0
390,1
391,1
392,1
393,1
394,1
395,0
396,0
397,1
398,1
399,0
400,1
401,1
402,0
403,0
404,1
405,1
406,0
407,1
408,1
409,1
410,1
411,1
412,0
413,0
414,1
415,1
416,0
417,0
418,0
419,1
420,0
421,0
422,0
423,1
424,0
425,1
426,1
427,1
428,1
429,0
430,0
431,1
432,0
433,0
434,1
435,1
436,0
437,0
438,1
439,1
440,1
441,1
442,0
443,1
444,1
445,0
446,1
447,1
448,1
449,0
450,1
451,1
452,0
453,1
454,1
455,0
456,1
457,1
458,1
459,0
460,1
461,1
462,0
463,1
464,0
465,1
466,0
467,0
468,1
469,1
470,0
471,0
472,0
473,1
474,0
475,1
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,1
484,0
485,0
486,1
487,0
488,0
489,1
490,0
491,1
492,0
493,1
494,1
495,0
496,0
497,0
498,1
499,1
500,1
501,1
502,0
503,0
504,0
505,1
506,1
507,0
508,0
509,0
510,0
511,1
512,1
513,0
514,1
515,1
516,0
517,0
518,1
519,1
520,1
521,1
522,1
523,0
524,0
525,0
526,1
527,1
528,0
529,0
530,1
531,1
532,1
533,1
534,0
535,1
536,1
537,1
538,1
539,0
540,0
541,1
542,1
543,0
544,0
545,1
546,1
547,0
548,0
549,1
550,0
551,0
552,0
553,0
554,1
555,1
556,1
557,1
558,1
559,0
560,0
561,1
562,0
563,1
564,1
565,1
566,0
567,0
568,1
569,1
570,0
571,1
572,0
573,0
574,1
575,1
576,0
577,1
578,0
579,1
580,1
581,0
582,1
583,0
584,1
585,1
586,0
587,1
588,0
589,0
590,0
591,0
592,1
593,1
594,0
595,1
596,0
597,1
598,0
599,1
600,1
601,0
602,0
603,0
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,1
621,1
622,1
623,1
624,0
625,0
626,1
627,0
628,1
629,1
630,1
631,1
632,0
633,1
634,0
635,0
636,1
637,1
638,1
639,1
640,1
641,1
642,0
643,1
644,0
645,1
646,0
647,1
648,0
649,0
650,1
651,1
652,0
653,1
654,1
655,0
656,0
657,0
658,0
659,0
660,1
661,1
662,1
663,0
664,1
665,1
666,0
667,0
668,1
669,1
670,1
671,0
672,0
673,0
674,0
675,0
676,1
677,1
678,0
679,0
680,0
681,0
682,1
683,0
684,0
685,0
686,0
687,1
688,0
689,1
690,1
691,0
692,1
693,0
694,0
695,1
696,1
697,1
698,1
699,0
700,0
701,1
702,1
703,0
704,0
705,0
706,1
707,0
708,0
709,1
710,1
711,1
712,1
713,0
714,0
715,0
716,0
717,0
718,1
719,1
720,1
721,1
722,0
723,0
724,0
725,0
726,1
727,0
728,1
729,0
730,0
731,1
732,0
733,0
734,0
735,1
736,0
737,0
738,0
739,0
740,1
741,1
742,1
743,1
744,1
745,1
746,0
747,1
748,0
749,1
750,0
751,0
752,0
753,1
754,0
755,0
756,0
757,0
758,0
759,1
760,1
761,1
762,0
763,1
764,1
765,1
766,0
767,1
768,0
769,1
770,0
771,0
772,0
773,0
774,1
775,1
776,0
777,1
778,0
779,1
780,0
781,1
782,1
783,0
784,0
785,1
786,0
787,0
788,0
789,0
790,0
791,1
792,1
793,0
794,1
795,1
796,1
797,1
798,0
799,0
800,1
801,0
802,0
803,0
804,1
805,0
806,0
807,1
808,0
809,0
810,0
811,0
812,1
813,0
814,0
815,0
816,1
817,1
818,1
819,1
820,1
821,0
822,1
823,1
824,0
825,1
826,0
827,0
828,1
829,1
830,0
831,0
832,1
833,1
834,0
835,0
836,0
837,0
838,1
839,1
840,1
841,1
842,0
843,1
844,1
845,1
846,0
847,0
848,0
849,0
850,1
851,0
852,1
853,0
854,1
855,1
856,1
857,1
858,0
859,1
860,0
861,0
862,1
863,0
864,0
865,0
866,0
867,0
868,0
869,1
870,0
871,1
872,0
873,0
874,0
875,0
876,1
877,0
878,0
879,0
880,1
881,1
882,1
883,0
884,1
885,0
886,1
887,1
888,1
889,1
890,1
891,1
892,0
893,1
894,0
895,1
896,1
897,0
898,0
899,1
900,0
901,1
902,1
903,0
904,0
905,1
906,0
907,1
908,0
909,1
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,1
919,0
920,1
921,1
922,1
923,0
924,1
925,0
926,0
927,1
928,1
929,0
930,1
931,0
932,0
933,1
934,0
935,0
936,0
937,0
938,1
939,0
940,1
941,1
942,1
943,1
944,1
945,0
946,1
947,1
948,0
949,1
950,1
951,0
952,1
953,1
954,1
955,0
956,1
957,1
958,0
959,1
960,0
961,1
962,0
963,0
964,0
965,1
966,1
967,1
968,1
969,0
970,0
971,0
972,1
973,1
974,1
975,1
976,1
977,0
978,0
979,1
980,1
981,0
982,0
983,1
984,0
985,1
986,1
987,1
988,0
989,1
990,1
991,0
992,0
993,1
994,1
995,1
996,1
997,1
998,1
999,1
1000,1
1001,0
1002,1
1003,1
1004,0
1005,1
1006,1
1007,1
1008,0
1009,1
1010,1
1011,0
1012,0
1013,0
1014,0
1015,1
1016,0
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,0
1024,1
1025,1
1026,1
1027,0
1028,1
1029,0
1030,0
1031,1
1032,0
1033,0
1034,0
1035,0
1036,1
1037,0
1038,0
1039,1
1040,0
1041,0
1042,1
1043,1
1044,0
1045,1
1046,0
1047,1
1048,1
1049,0
1050,0
1051,0
1052,1
1053,1
1054,0
1055,0
1056,0
1057,0
1058,1
1059,1
1060,1
1061,1
1062,0
1063,0
1064,0
1065,1
1066,1
1067,1
1068,1
1069,0
1070,0
1071,1
1072,0
1073,1
1074,1
1075,0
1076,1
1077,1
1078,1
1079,1
1080,1
1081,1
1082,1
1083,0
1084,1
1085,1
1086,1
1087,0
1088,1
1089,0
1090,1
1091,0
1092,1
1093,0
1094,0
1095,0
1096,0
1097,1
1098,1
1099,0
1100,1
1101,0
1102,0
1103,1
1104,1
1105,1
1106,0
1107,1
1108,1
1109,0
1110,0
1111,1
1112,0
1113,1
1114,1
1115,1
1116,1
1117,1
1118,0
1119,0
1120,0
1121,1
1122,0
1123,1
1124,1
1125,0
1126,0
1127,0
1128,1
1129,0
1130,1
1131,0
1132,0
1133,0
1134,0
1135,1
1136,1
1137,1
1138,0
1139,1
1140,0
1141,1
1142,1
1143,1
1144,0
1145,0
1146,0
1147,1
1148,0
1149,0
1150,0
1151,0
1152,1
1153,1
1154,1
1155,1
1156,1
1157,0
1158,1
1159,1
1160,1
1161,1
1162,0
1163,1
1164,0
1165,0
1166,1
1167,1
1168,0
1169,0
1170,0
1171,1
1172,0
1173,1
1174,1
1175,0
1176,0
1177,0
1178,1
1179,1
1180,0
1181,0
1182,1
1183,0
1184,1
1185,0
1186,0
1187,1
1188,1
1189,0
1190,1
1191,0
1192,0
1193,1
1194,0
1195,1
1196,1
1197,0
1198,0
1199,1
1200,1
1201,1
1202,1
1203,0
1204,1
1205,1
1206,1
1207,0
1208,1
1209,1
1210,1
1211,0
1212,1
1213,0
1214,1
1215,1
1216,1
1217,1
1218,0
1219,1
1220,1
1221,1
1222,0
1223,1
1224,1
1225,1
1226,0
1227,1
1228,0
1229,0
